,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,SOFT,4.0,1,1,,
1,2,0 days 00:01:23.247000,SOFT,5.0,1,1,,
2,3,0 days 00:01:23.079000,SOFT,6.0,1,1,,
3,4,0 days 00:01:23.566000,SOFT,7.0,1,1,,
4,5,0 days 00:01:23.226000,SOFT,8.0,1,1,,
5,6,0 days 00:01:23.294000,SOFT,9.0,1,1,,
6,7,0 days 00:01:23.115000,SOFT,10.0,1,1,,
7,8,0 days 00:01:23.292000,SOFT,11.0,1,1,,
8,9,0 days 00:01:23.246000,SOFT,12.0,1,1,,
9,10,0 days 00:01:23.257000,SOFT,13.0,1,1,,
10,11,0 days 00:01:23.164000,SOFT,14.0,1,1,,
11,12,0 days 00:01:23.076000,SOFT,15.0,1,1,,
12,13,0 days 00:01:23.109000,SOFT,16.0,1,1,,
13,14,0 days 00:01:23.056000,SOFT,17.0,1,1,,
14,15,0 days 00:01:22.971000,SOFT,18.0,1,1,,
15,16,0 days 00:01:23.076000,SOFT,19.0,1,1,,
16,17,0 days 00:01:23.161000,SOFT,20.0,1,1,,
17,18,0 days 00:01:23.288000,SOFT,21.0,1,1,,
18,19,0 days 00:01:23.432000,SOFT,22.0,1,1,,
19,20,0 days 00:01:23.674000,SOFT,23.0,1,1,,
20,21,0 days 00:01:23.295000,SOFT,24.0,1,1,,
21,22,0 days 00:01:23.597000,SOFT,25.0,1,1,,
22,23,0 days 00:01:23.655000,SOFT,26.0,1,1,19.343333333104965,44
23,24,0 days 00:01:23.861000,SOFT,27.0,1,1,36.97916666648234,44
24,25,0 days 00:01:26.845000,SOFT,28.0,1,1,62.905833333017654,44
25,26,0 days 00:01:41.339000,MEDIUM,1.0,1,2,324.8391666664247,44
26,27,0 days 00:01:22.494000,MEDIUM,2.0,1,2,1324.5288888887735,63
27,28,0 days 00:01:22.540000,MEDIUM,3.0,1,2,1270.935277777753,63
28,29,0 days 00:01:22.472000,MEDIUM,4.0,1,2,1250.8077777777216,63
29,30,0 days 00:01:22.289000,MEDIUM,5.0,1,2,384.00638888911635,44
30,31,0 days 00:01:22.365000,MEDIUM,6.0,1,2,1167.9352777776076,63
